tipo_dolar,valor_compra,valor_venta
dolar_blue,1135.0,1155.0
dolar_oficial,809.0,849.0
dolar_bolsa,1197.6,1203.9
contado_con_liqui,1240.1,1246.7
dolar_cripto,1196.0,1232.0
