urls,precio,direccion,caracteristicas
/propiedades/clasificado/veclapin-solar-ameghino-976-departamento-2-dorm.-85-m-sup2--51038302.html,118.000,"['ameghino 976', ' Centro', ' Resistencia']","[['95\nm² tot.'], ['85\nm² cub.'], ['3\namb.'], ['2\nBaños'], ['1\ncoch.'], ['2\ndorm.'], ['1\nToilette'], ['A estrenar'], ['Frente'], ['Muy luminoso']]"
/propiedades/clasificado/veclapin-departamento-resistencia-51194875.html,45.000,"['Garcia Merou al 100', ' Resistencia', ' Chaco']","[['3\namb.'], ['1\nBaño'], ['1\ncoch.'], ['2\ndorm.'], ['A estrenar']]"
/propiedades/clasificado/veclapin-semipiso-5-ambientes-av-sarmiento-260-microcentro.-51679689.html,140.000,"['sarmiento 260', ' Microcentro', ' Resistencia']","[['140\nm² tot.'], ['110\nm² cub.'], ['5\namb.'], ['3\nBaños'], ['1\ncoch.'], ['3\ndorm.'], ['1\nToilette'], ['3\nAños'], ['Contrafrente'], ['NE'], ['Muy luminoso']]"
/propiedades/clasificado/veclapin-departamento-resistencia-51689013.html,109.000,"['Córdoba al 700', ' Resistencia', ' Chaco']","[['100\nm² tot.'], ['67\nm² cub.'], ['3\namb.'], ['1\nBaño'], ['1\ncoch.'], ['2\ndorm.'], ['1\nToilette'], ['3\nAños'], ['Frente']]"
/propiedades/clasificado/veclapin-departamento-resistencia-48472017.html,,"['SAN Lorenzo al 1400', ' Resistencia', ' Chaco']","[['40\nm² tot.'], ['2\namb.'], ['1\nBaño'], ['1\ndorm.'], ['A estrenar'], ['Frente']]"
/propiedades/clasificado/veclapin-departamento-en-venta-52810603.html,45.000,"['Necochea 945', ' Resistencia', ' Chaco']","[['42\nm² tot.'], ['3\namb.'], ['1\nBaño'], ['1\ncoch.'], ['2\ndorm.'], ['20\nAños'], ['Frente']]"
/propiedades/clasificado/veclapin-edificio-depar-r-s-pena-1001-departamentos-2-dorm.-49231300.html,46.500,"['Roque Saenz Peña 1001', ' Macrocentro', ' Resistencia']","[['58\nm² tot.'], ['48\nm² cub.'], ['3\namb.'], ['1\nBaño'], ['2\ndorm.'], ['10\nAños'], ['Frente'], ['Muy luminoso']]"
/propiedades/clasificado/veclapin-departamento-resistencia-50373969.html,125.000,"['Mitre al 400', ' Resistencia', ' Chaco']","[['82\nm² tot.'], ['82\nm² cub.'], ['4\namb.'], ['1\nBaño'], ['1\ncoch.'], ['3\ndorm.'], ['10\nAños']]"
/propiedades/clasificado/veclapin-departamento-en-santa-fe-88-51485437.html,195.000,"['Santa fe 88', ' Resistencia', ' Chaco']","[['170\nm² tot.'], ['136\nm² cub.'], ['6\namb.'], ['3\nBaños'], ['1\ncoch.'], ['3\ndorm.'], ['20\nAños'], ['Frente']]"
/propiedades/clasificado/veclapin-edificio-jose-hernandez-1086.monoambientes-y-cocheras.-46272146.html,25.000,"['José Hernández 1100', ' Macrocentro', ' Resistencia']","[['33\nm² tot.'], ['30\nm² cub.'], ['1\namb.'], ['1\nBaño'], ['1\ncoch.'], ['1\ndorm.'], ['3\nAños'], ['N'], ['Muy luminoso']]"
/propiedades/clasificado/veclapin-edificio-poo-alem-665-depto-un-dormitorio-40-65-52510743.html,43.000,"['Av Castelli ', ' Zona U.N.N.E', ' Resistencia']","[['60\nm² tot.'], ['40\nm² cub.'], ['2\namb.'], ['1\nBaño'], ['1\ndorm.'], ['2\nAños'], ['Interno'], ['Muy luminoso']]"
/propiedades/clasificado/veclapin-departamento-resistencia-50197555.html,38.000,"['Colon al 1300', ' Resistencia', ' Chaco']","[['40\nm² tot.'], ['40\nm² cub.'], ['2\namb.'], ['1\nBaño'], ['1\ndorm.'], ['5\nAños']]"
/propiedades/clasificado/veclapin-solar-rioja-52314846.html,120.195,"['La Rioja', ' Centro', ' Resistencia']","[['90\nm² tot.'], ['80\nm² cub.'], ['3\namb.'], ['1\nBaño'], ['2\ndorm.'], ['1\nToilette'], ['A estrenar'], ['Muy luminoso']]"
/propiedades/clasificado/veclapin-departamento-1-ambiente-centro-resistencia-48275371.html,45.000,"['AV.LAS HERAS 700', ' Resistencia', ' Chaco']","[['38\nm² tot.'], ['38\nm² cub.'], ['1\namb.'], ['1\nBaño'], ['Frente'], ['SE'], ['Luminoso']]"
/propiedades/clasificado/veclapin-departamento-resistencia-52613945.html,45.000,"['Edificio con Ascensor - Venta Dpto 1 Dormitorio en - Alem al 600', ' Resistencia', ' Chaco']","[['44\nm² tot.'], ['44\nm² cub.'], ['2\namb.'], ['1\nBaño'], ['1\ndorm.'], ['5\nAños'], ['Frente']]"
/propiedades/clasificado/veclapin-solar-belgrano-52314398.html,44.910,"['av. belgrano 1475', ' Villa Río Araza', ' Resistencia']","[['49\nm² tot.'], ['39\nm² cub.'], ['2\namb.'], ['3\nBaños'], ['1\ndorm.'], ['A estrenar'], ['Luminoso']]"
/propiedades/clasificado/veclapin-departamento-resistencia-50995519.html,60.000,"['Fontana al 400', ' Resistencia', ' Chaco']","[['90\nm² tot.'], ['80\nm² cub.'], ['3\namb.'], ['1\nBaño'], ['2\ndorm.'], ['1\nToilette'], ['2\nAños'], ['Contrafrente']]"
